Generation;Fitness
[1]; 9702,07507
[2]; 9702,07507
[3]; 6859,9303
[4]; 4929,26367
[5]; 3880,899
[6]; 3589,50828
[7]; 3228,93908
[8]; 1305,26537
[9]; 1305,26537
[10]; 1246,07614
[11]; 966,41396
[12]; 818,09693
[13]; 734,82222
[14]; 640,17609
[15]; 616,81215
[16]; 553,30015
[17]; 478,93486
[18]; 424,50842
[19]; 404,07017
[20]; 341,30901
[21]; 283,87667
[22]; 168,5213
[23]; 165,00796
[24]; 147,13604
[25]; 139,11227
[26]; 129,27774
[27]; 122,12657
[28]; 113,59586
[29]; 95,66584
[30]; 92,95455
[31]; 85,4943
[32]; 73,90244
[33]; 67,15157
[34]; 66,48554
[35]; 65,25426
[36]; 59,95544
[37]; 53,08796
[38]; 47,5404
[39]; 47,5404
[40]; 46,97676
[41]; 41,80325
[42]; 41,50835
[43]; 40,87883
[44]; 37,47274
[45]; 36,81148
[46]; 35,86005
[47]; 32,04749
[48]; 32,04749
[49]; 31,37105
[50]; 30,30225
[51]; 28,33927
