Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
94,000; 15,000; 19,000; 4,000; 30,000; 37,000; 48,000; 60,000; 64,000; 65,000; 128,000; 65,000;1641,56955
94,000; 15,000; 19,000; 4,000; 30,000; 37,000; 48,000; 60,000; 64,000; 65,000; 128,000; 64,000;1641,89343
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 65,000;1642,70289
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 64,000;1643,02677
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 61,000; 64,000; 65,000; 128,000; 64,000;1643,47439
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 66,000;1644,379
94,000; 15,000; 19,000; 4,000; 30,000; 33,000; 48,000; 60,000; 64,000; 65,000; 128,000; 65,000;1646,10289
94,000; 15,000; 19,000; 4,000; 30,000; 32,000; 48,000; 60,000; 64,000; 65,000; 128,000; 65,000;1647,23622
94,000; 15,000; 19,000; 4,000; 30,000; 32,000; 48,000; 60,000; 64,000; 65,000; 128,000; 64,000;1647,5601
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 68,000;1647,73124
94,000; 15,000; 19,000; 4,000; 30,000; 32,000; 48,000; 60,000; 64,000; 65,000; 128,000; 66,000;1648,91234
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 69,000;1649,40736
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 61,000; 64,000; 65,000; 128,000; 69,000;1649,85498
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 70,000;1651,08348
94,000; 15,000; 19,000; 4,000; 30,000; 32,000; 48,000; 60,000; 64,000; 65,000; 128,000; 68,000;1652,26457
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 128,000; 71,000;1652,7596
94,000; 15,000; 19,000; 4,000; 30,000; 33,000; 48,000; 60,000; 64,000; 65,000; 128,000; 69,000;1652,80736
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 129,000; 68,000;1655,58918
94,000; 15,000; 19,000; 4,000; 30,000; 32,000; 48,000; 60,000; 64,000; 65,000; 128,000; 70,000;1655,61681
94,000; 15,000; 19,000; 4,000; 30,000; 36,000; 48,000; 60,000; 64,000; 65,000; 129,000; 69,000;1657,2653
