Gen1;Gen2;Gen3;Wert
8,299; 8,299; 8,299;0
8,319; 8,319; 8,319;0
8,240; 8,240; 8,240;0
8,456; 8,456; 8,456;0
8,338; 8,338; 8,338;0
8,475; 8,475; 8,475;0
8,358; 8,358; 8,358;0
8,221; 8,221; 8,221;0
8,397; 8,397; 8,397;0
8,416; 8,416; 8,416;0
8,377; 8,377; 8,377;0
8,162; 8,162; 8,162;0
8,436; 8,436; 8,436;0
8,143; 8,143; 8,143;0
8,201; 8,201; 8,201;0
8,182; 8,182; 8,182;0
8,299; 8,299; 8,319;0,05865
8,221; 8,240; 8,240;0,05865
8,299; 8,280; 8,280;0,05865
8,299; 8,299; 8,280;0,05865
