Gen1;Gen2;Gen3;Wert
4,299; 4,299; 4,299;0
4,298; 4,298; 4,298;0
4,299; 4,299; 4,299;0
4,393; 4,393; 4,393;0
0,290; 0,290; 0,290;0
2,572; 2,572; 2,572;0
-1,402; -1,402; -1,402;0
-9,420; -9,420; -9,420;0
3,768; 3,768; 3,768;0
7,111; 7,111; 7,111;0
0,290; 0,290; 0,290;0
4,297; 4,297; 4,297;0,00183
4,299; 4,299; 4,299;0,00183
4,299; 4,299; 4,299;0,00183
4,298; 4,299; 4,299;0,00183
4,299; 4,298; 4,298;0,00183
4,299; 4,299; 4,300;0,00183
4,299; 4,299; 4,298;0,00183
4,299; 4,299; 4,299;0,00183
4,298; 4,298; 4,297;0,00183
