Gen1;Gen2;Gen3;Wert
-2,997; -2,958; -2,959;0,12085
-2,997; -2,958; -2,961;0,12207
-2,997; -2,957; -2,959;0,12329
-2,997; -2,957; -2,961;0,12452
-2,997; -2,957; -2,956;0,12452
-2,997; -2,958; -2,956;0,12452
-2,997; -2,955; -2,956;0,12696
-2,997; -2,954; -2,954;0,12818
-2,997; -2,954; -2,956;0,1294
-2,997; -2,957; -2,970;0,13428
-2,997; -2,953; -2,956;0,13672
-2,997; -2,952; -2,954;0,13794
-2,997; -2,957; -2,975;0,13916
-2,997; -2,954; -2,965;0,13916
-2,997; -2,952; -2,951;0,13916
-2,997; -2,957; -2,951;0,13916
-2,997; -2,954; -2,951;0,13916
-2,997; -2,952; -2,956;0,13916
-2,997; -2,950; -2,951;0,14161
-2,997; -2,954; -2,970;0,14405
