Gen1;Gen2;Gen3;Wert
5,582; 5,582; 5,582;0
5,425; 5,425; 5,425;0
5,738; 5,738; 5,738;0
5,777; 5,777; 5,777;0
5,660; 5,660; 5,660;0
5,464; 5,464; 5,464;0
5,699; 5,699; 5,699;0
5,621; 5,621; 5,621;0
5,386; 5,386; 5,386;0
5,562; 5,562; 5,543;0,05865
5,406; 5,406; 5,425;0,05865
5,562; 5,562; 5,582;0,05865
5,562; 5,582; 5,582;0,05865
5,406; 5,425; 5,425;0,05865
7,439; 7,419; 7,419;0,05865
5,718; 5,738; 5,738;0,05865
5,718; 5,718; 5,699;0,05865
5,562; 5,543; 5,543;0,05865
5,406; 5,406; 5,386;0,05865
5,718; 5,718; 5,738;0,05865
