Generation;Fitness
[1]; 17497,35607
[2]; 12938,22374
[3]; 10553,81559
[4]; 8762,83924
[5]; 7199,69045
[6]; 5498,75945
[7]; 4084,13171
[8]; 3334,80157
[9]; 2948,65298
[10]; 2614,9699
[11]; 2463,77734
[12]; 2264,93095
[13]; 2009,23533
[14]; 1770,74834
[15]; 1621,88291
[16]; 1521,60948
[17]; 1464,45741
[18]; 1415,43805
[19]; 1385,85091
[20]; 1373,84856
[21]; 1364,69252
[22]; 1357,83488
[23]; 1354,22884
[24]; 1354,0731
[25]; 1354,03048
[26]; 1354,02978
[27]; 1354,02699
[28]; 1354,01476
[29]; 1354,01337
[30]; 1354,01337
[31]; 1354,01337
[32]; 1354,01337
[33]; 1354,01337
[34]; 1354,01337
[35]; 1354,01337
[36]; 1354,01337
[37]; 1354,01337
[38]; 1354,01337
[39]; 1354,01337
[40]; 1354,01337
[41]; 1354,01337
[42]; 1354,01337
[43]; 1354,01337
[44]; 1354,01337
[45]; 1354,01337
[46]; 1354,01337
[47]; 1354,01337
[48]; 1354,01337
[49]; 1354,01337
[50]; 1354,01337
[51]; 1354,01337
