Generation;Fitness
[1]; 32,93866
[2]; 9,06889
[3]; 5,88822
[4]; 3,16214
[5]; 2,07417
[6]; 1,15498
[7]; 0,85248
[8]; 0,33918
[9]; 0,17635
[10]; 0,13887
[11]; 0,13174
[12]; 0,12449
[13]; 0,1243
[14]; 0,12349
[15]; 0,12266
[16]; 0,12085
[17]; 0,12085
[18]; 0,12085
[19]; 0,12085
[20]; 0,12085
[21]; 0,12085
[22]; 0,12085
[23]; 0,12085
[24]; 0,12085
[25]; 0,12085
[26]; 0,12085
[27]; 0,12085
[28]; 0,12085
[29]; 0,12085
[30]; 0,12085
[31]; 0,12085
[32]; 0,12085
[33]; 0,12085
[34]; 0,12085
[35]; 0,12085
[36]; 0,12085
[37]; 0,12085
[38]; 0,12085
[39]; 0,12085
[40]; 0,12085
[41]; 0,12085
[42]; 0,12085
[43]; 0,12085
[44]; 0,12085
[45]; 0,12085
[46]; 0,12085
[47]; 0,12085
[48]; 0,12085
[49]; 0,12085
[50]; 0,12085
[51]; 0,12085
