Gen1;Gen2;Gen3;Wert
7,439; 7,439; 7,439;0
6,931; 6,931; 6,931;0
6,891; 6,891; 6,891;0
7,400; 7,400; 7,400;0
5,562; 5,562; 5,562;0
7,439; 7,439; 7,419;0,05865
7,439; 7,439; 7,458;0,05865
6,931; 6,931; 6,911;0,05865
6,931; 6,931; 6,950;0,05865
5,582; 5,562; 5,562;0,05865
6,891; 6,891; 6,911;0,05865
7,458; 7,439; 7,439;0,05865
7,400; 7,400; 7,419;0,05865
6,931; 6,891; 6,891;0,1173
6,931; 6,931; 6,891;0,1173
6,931; 6,931; 6,970;0,1173
7,439; 7,439; 7,400;0,1173
7,439; 7,400; 7,400;0,1173
7,439; 7,439; 7,478;0,1173
6,970; 6,931; 6,931;0,1173
