Generation;Fitness
[1]; 17145,98355
[2]; 12512,49624
[3]; 9882,93566
[4]; 8223,19313
[5]; 6273,37092
[6]; 4765,57204
[7]; 3900,58807
[8]; 3305,87726
[9]; 2932,57515
[10]; 2581,64148
[11]; 2107,99464
[12]; 1626,50185
[13]; 1224,08226
[14]; 962,92164
[15]; 821,61609
[16]; 730,40303
[17]; 644,04343
[18]; 590,56064
[19]; 580,46067
[20]; 566,50487
[21]; 559,9951
[22]; 554,16994
[23]; 551,50706
[24]; 547,98807
[25]; 532,69047
[26]; 518,98729
[27]; 514,26212
[28]; 512,03485
[29]; 510,53407
[30]; 508,9873
[31]; 507,50684
[32]; 503,96244
[33]; 498,64415
[34]; 488,4094
[35]; 472,98868
[36]; 455,05986
[37]; 413,27113
[38]; 373,56872
[39]; 363,92883
[40]; 357,85107
[41]; 349,34068
[42]; 342,18108
[43]; 338,9539
[44]; 331,05753
[45]; 325,14668
[46]; 322,63554
[47]; 320,27058
[48]; 318,85001
[49]; 315,5187
[50]; 313,29276
[51]; 309,92433
