Generation;Fitness
[1]; 7,26585
[2]; 2,35481
[3]; 1,38005
[4]; 1,13224
[5]; 0,40773
[6]; 0,44679
[7]; 0,24903
[8]; 0,09766
[9]; 0,10743
[10]; 0,12818
[11]; 0,09522
[12]; 0,0238
[13]; 0,0238
[14]; 0,02014
[15]; 0,02014
[16]; 0,02747
[17]; 0,02747
[18]; 0,02747
[19]; 0,02747
[20]; 0,02747
[21]; 0,02747
[22]; 0,02747
[23]; 0,02747
[24]; 0,02747
[25]; 0,02747
[26]; 0,02747
[27]; 0,02747
[28]; 0,02747
[29]; 0,02747
[30]; 0,02747
[31]; 0,02747
[32]; 0,02747
[33]; 0,02747
[34]; 0,02747
[35]; 0,02747
[36]; 0,02747
[37]; 0,02747
[38]; 0,02747
[39]; 0,02747
[40]; 0,02747
[41]; 0,02747
[42]; 0,02747
[43]; 0,02747
[44]; 0,02747
[45]; 0,02747
[46]; 0,02747
[47]; 0,02747
[48]; 0,02747
[49]; 0,02747
[50]; 0,02747
[51]; 0,02747
