Gen1;Gen2;Gen3;Wert
9,413; 9,413; 9,413;0
9,453; 9,453; 9,453;0
-7,537; -7,537; -7,537;0
8,827; 8,827; 8,827;0
9,492; 9,492; 9,492;0
9,394; 9,394; 9,394;0
9,433; 9,433; 9,433;0
1,222; 1,222; 1,222;0
8,807; 8,807; 8,807;0
7,654; 7,654; 7,654;0
8,788; 8,788; 8,788;0
8,768; 8,768; 8,768;0
2,473; 2,473; 2,473;0
9,472; 9,472; 9,472;0
9,511; 9,511; 9,511;0
9,570; 9,570; 9,570;0
7,810; 7,810; 7,810;0
9,413; 9,413; 9,433;0,05865
9,413; 9,413; 9,394;0,05865
9,394; 9,413; 9,413;0,05865
