Gen1;Gen2;Gen3;Wert
7,419; 7,419; 7,419;0
-0,186; -0,186; -0,186;0
7,458; 7,458; 7,458;0
-0,166; -0,166; -0,166;0
-0,244; -0,244; -0,244;0
2,121; 2,121; 2,121;0
8,710; 8,710; 8,710;0
-0,205; -0,205; -0,205;0
-0,635; -0,635; -0,635;0
-0,225; -0,225; -0,225;0
-0,029; -0,029; -0,029;0
-0,010; -0,010; -0,010;0
-0,068; -0,068; -0,068;0
-0,342; -0,342; -0,342;0
-0,049; -0,049; -0,049;0
3,881; 3,881; 3,881;0
1,046; 1,046; 1,046;0
1,065; 1,065; 1,065;0
-0,108; -0,108; -0,108;0
-5,816; -5,816; -5,816;0
