Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-494,860; -334,012; -152,715; -237,479; -136,449; -346,594; -271,009; -302,105; -245,565; -311,627; -275,193; -247,001;4919,89286
193,925; 246,469; 15,563; 21,401; -0,921; -52,529; 82,406; -37,730; -22,495; 36,449; -32,891; 201,855;5175,80621
193,925; 246,469; 15,563; 21,401; -0,921; -52,529; 82,406; -37,730; -22,495; 36,449; -38,386; 202,230;5210,24882
459,049; 373,599; 448,965; 443,907; 317,621; 352,369; 217,559; 217,809; 66,577; 273,506; 320,274; 338,851;5541,7997
-236,355; -433,543; -269,979; -407,755; -352,713; -235,824; -370,821; -248,593; -304,540; -169,200; -98,579; -124,773;5671,76542
-72,447; -423,334; -306,039; -254,275; -57,711; -82,126; -118,841; -69,887; -100,733; 11,254; -58,398; -54,527;5757,29579
-151,029; -290,491; -317,840; -370,290; -339,039; -128,395; -73,322; -154,058; -220,526; -292,739; -350,060; -176,380;5773,71696
-174,788; -317,278; -293,644; -464,045; -272,414; -134,451; -374,412; -262,080; -332,857; -287,588; -353,400; -450,527;5786,23717
-197,954; -207,413; -141,851; -124,211; -159,958; -186,027; -265,390; 36,449; -287,213; -94,801; -325,271; -179,096;5796,13311
-237,354; -317,590; -135,981; -263,079; -261,893; -178,847; -438,382; -385,682; -346,563; -213,252; -209,131; -431,576;5874,91576
-237,354; -317,590; -135,981; -263,079; -257,897; -178,847; -438,382; -385,682; -346,563; -214,251; -209,131; -431,576;5875,37168
306,381; 471,319; 245,345; 331,670; 292,800; 230,578; 312,781; 488,303; 220,026; 252,026; 370,727; 475,783;5943,96513
-235,886; -239,009; -244,784; 20,184; -324,896; -407,568; -202,356; -283,248; -399,794; -266,108; -326,769; -257,116;6170,03593
-237,354; -317,590; -135,981; -263,079; -261,893; -178,847; -438,382; -385,682; -346,563; -213,252; -209,131; -495,266;6254,14101
120,339; 0,921; -141,195; -127,989; -112,566; -225,209; -50,843; -49,688; 146,689; -6,073; 143,567; 2,700;6370,64362
162,018; -134,545; -165,047; -14,003; 58,491; 42,537; -135,388; -211,628; 31,329; 19,746; 0,234; -135,044;6574,76574
323,147; -43,631; 143,067; 259,551; -12,442; 19,278; 99,889; 75,569; 10,224; -28,989; 165,234; 59,022;6614,24331
-375,754; -233,482; -272,009; -237,760; -103,231; -171,291; -112,909; -134,233; -387,649; -61,957; -377,409; -289,336;6642,89149
-191,460; -67,327; -346,157; -174,226; -104,948; -389,460; -122,681; -169,605; -252,933; -239,258; -243,473; -12,848;6745,91042
-174,788; -318,121; -134,451; -320,744; -511,251; -362,454; -134,639; -262,080; -332,857; -287,588; -353,400; -450,527;6863,09545
