Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
60,895; -83,250; 140,195; 127,145; 20,527; 125,646; 241,505; 168,418; 150,779; -34,171; -89,993; -16,594;5970,94024
60,895; -83,250; 140,195; 127,145; 20,527; 125,646; 241,505; 168,418; 150,779; -34,171; -89,993; -64,549;6014,41979
-363,391; -502,821; -492,924; -372,476; -359,020; -247,688; -122,088; -416,341; -389,241; -382,373; -261,144; -442,254;6080,10613
388,678; 316,216; 395,640; 480,435; 436,071; 261,518; 453,273; 274,349; 272,289; 83,967; 84,248; 198,764;6489,68936
49,968; -170,480; 26,615; 27,239; 92,334; 185,652; -10,412; -46,378; 1,233; 185,589; 312,063; 73,508;6892,65544
-347,905; -67,046; -150,530; -402,010; -367,106; -438,570; -438,195; -201,731; -442,129; -244,503; -317,840; -372,382;7105,55224
-119,622; -283,342; -416,590; -106,759; -176,568; -279,470; -166,515; -10,818; -123,774; 58,710; -68,763; -121,401;7114,68377
63,112; -46,066; -93,428; -57,181; -109,288; -114,096; 156,804; 15,563; -153,964; 129,611; 6,915; 282,623;7146,97053
-119,622; -283,342; -416,590; -106,759; -176,568; -279,470; -166,515; -10,818; -120,964; -191,803; -363,578; -122,400;7233,0618
60,895; -83,250; 127,582; -60,053; 189,773; 230,640; 378,126; 174,506; 31,954; 155,056; 191,833; 211,565;7242,6421
-342,192; -249,342; -81,096; -240,757; -381,124; -245,128; -479,905; -473,412; -158,241; -188,931; -149,156; -222,462;7298,6413
-120,246; -192,147; -96,768; 10,661; -7,946; -142,881; -88,651; -123,087; -478,282; 10,599; -124,867; -226,177;7328,46893
-156,056; -210,535; -140,914; 87,651; 197,734; 201,293; 252,745; 109,568; -60,459; 112,471; 66,202; 57,398;7346,02443
-120,246; -192,147; -65,298; 10,661; -7,946; -142,881; -88,651; -123,087; -478,282; 10,599; -124,867; -226,177;7386,01443
60,333; 32,953; 170,198; 266,450; 313,624; 258,739; 386,337; 307,755; 124,710; -53,653; 71,416; -15,064;7406,75833
104,104; -8,477; -337,290; -231,328; -222,368; -272,196; -262,642; -271,571; -6,760; -227,925; -253,339; -441,723;7418,14955
-119,622; -283,342; -416,590; -106,759; -176,568; -279,470; -166,515; -10,818; -123,774; 58,710; -68,763; -218,060;7481,6373
-324,178; -237,635; -79,129; 41,476; -73,728; -209,349; 144,753; -121,183; 22,681; -72,635; -143,099; -163,361;7502,45503
129,174; -30,394; -10,069; -126,896; 1,826; -39,760; -211,597; -375,192; -387,430; -374,911; -376,066; -439,631;7551,70495
-173,570; -502,634; -150,530; -402,010; -365,920; -166,889; -408,598; -288,711; -311,128; -447,623; -507,973; -385,370;7582,16473
