Generation;Fitness
[1]; 17145,98355
[2]; 12716,50246
[3]; 10204,26976
[4]; 8277,10216
[5]; 6686,59525
[6]; 5333,80908
[7]; 4306,73111
[8]; 3462,16407
[9]; 2666,37787
[10]; 1933,21502
[11]; 1375,52488
[12]; 1152,22306
[13]; 898,84135
[14]; 785,77342
[15]; 732,13894
[16]; 673,73189
[17]; 572,00704
[18]; 524,56228
[19]; 470,7716
[20]; 425,26122
[21]; 365,83947
[22]; 305,6262
[23]; 258,51387
[24]; 195,31999
[25]; 156,50826
[26]; 146,8202
[27]; 137,5154
[28]; 126,51825
[29]; 116,73619
[30]; 106,88332
[31]; 97,9149
[32]; 89,60357
[33]; 79,9785
[34]; 73,93066
[35]; 70,43897
[36]; 66,49946
[37]; 63,78404
[38]; 59,4889
[39]; 55,69041
[40]; 51,67949
[41]; 48,50113
[42]; 46,53659
[43]; 44,11228
[44]; 42,16941
[45]; 40,6771
[46]; 38,88399
[47]; 36,82179
[48]; 35,77188
[49]; 34,38886
[50]; 32,46048
[51]; 31,52642
