Generation;Fitness
[1]; 7,89834
[2]; 2,34604
[3]; 2,11144
[4]; 1,25122
[5]; 1,25122
[6]; 0,84066
[7]; 0,44966
[8]; 0,43011
[9]; 0,1173
[10]; 0,05865
[11]; 0,05865
[12]; 0,05865
[13]; 0,05865
[14]; 0,05865
[15]; 0,05865
[16]; 0
[17]; 0
[18]; 0
[19]; 0
[20]; 0
[21]; 0
[22]; 0
[23]; 0
[24]; 0
[25]; 0
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
