Generation;Fitness
[1]; 17497,35607
[2]; 12993,52282
[3]; 10603,13801
[4]; 9190,49054
[5]; 7910,44378
[6]; 6679,08149
[7]; 5189,44998
[8]; 4106,14995
[9]; 3233,63117
[10]; 2646,6105
[11]; 2338,06027
[12]; 2259,93032
[13]; 2209,58786
[14]; 2164,82979
[15]; 2122,99729
[16]; 2089,44306
[17]; 2064,70404
[18]; 2055,82139
[19]; 2050,7694
[20]; 2046,32746
[21]; 2042,83814
[22]; 2039,27599
[23]; 2037,09377
[24]; 2036,34491
[25]; 2036,04066
[26]; 2035,71497
[27]; 2035,56228
[28]; 2035,53552
[29]; 2035,53552
[30]; 2035,53552
[31]; 2035,53552
[32]; 2035,53552
[33]; 2035,53552
[34]; 2035,53552
[35]; 2035,53552
[36]; 2035,53552
[37]; 2035,53552
[38]; 2035,53552
[39]; 2035,53552
[40]; 2035,53552
[41]; 2035,53552
[42]; 2035,53552
[43]; 2035,53552
[44]; 2035,53552
[45]; 2035,53552
[46]; 2035,53552
[47]; 2035,53552
[48]; 2035,53552
[49]; 2035,53552
[50]; 2035,53552
[51]; 2035,53552
