Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-258,000; -311,000; -177,000; -88,000; -71,000; -205,000; -41,000; -82,000; -19,000; -90,000; -92,000; -120,000;4341,48853
-258,000; -311,000; -177,000; -88,000; -71,000; -205,000; -41,000; -82,000; -154,000; -149,000; -28,000; -120,000;4668,47107
218,000; 186,000; 262,000; 225,000; 341,000; 191,000; 217,000; 308,000; 246,000; 122,000; 152,000; -38,000;4769,05101
-269,000; -367,000; -350,000; -369,000; -266,000; -206,000; -180,000; -268,000; -239,000; -141,000; 12,000; -94,000;5143,2285
246,000; 155,000; 19,000; -57,000; -82,000; 27,000; -6,000; 88,000; 186,000; 13,000; 81,000; -31,000;5532,17792
-163,000; -272,000; 79,000; -167,000; -143,000; -154,000; -199,000; -80,000; -35,000; -122,000; -153,000; -310,000;5712,38203
168,000; 347,000; 86,000; 235,000; 405,000; 273,000; 194,000; 285,000; 254,000; 207,000; 110,000; 102,000;5751,8627
73,000; -143,000; -98,000; -138,000; -88,000; -61,000; -155,000; 33,000; 64,000; -92,000; 83,000; 233,000;5979,21154
73,000; -143,000; -98,000; -138,000; -88,000; -61,000; -155,000; 33,000; 64,000; -92,000; 83,000; 235,000;5991,29105
96,000; 15,000; -99,000; 198,000; 227,000; 240,000; 357,000; 282,000; 360,000; 293,000; 301,000; 190,000;6252,72742
184,000; 347,000; 31,000; 55,000; -82,000; 27,000; -6,000; 88,000; 186,000; 13,000; 81,000; -31,000;6264,21789
431,000; 62,000; 37,000; -33,000; -160,000; 66,000; 21,000; -6,000; 97,000; 103,000; 127,000; 10,000;6309,01212
-269,000; -367,000; -350,000; -369,000; -266,000; -206,000; -180,000; -268,000; -239,000; -141,000; 12,000; -478,000;6335,29444
431,000; 62,000; 37,000; -33,000; -160,000; 66,000; 21,000; -6,000; 80,000; -2,000; -26,000; -122,000;6372,4399
198,000; 44,000; -215,000; -133,000; 39,000; -34,000; -140,000; 10,000; -158,000; -86,000; -172,000; -116,000;6421,61631
231,000; -309,000; -179,000; -76,000; -110,000; -35,000; -93,000; -3,000; -133,000; -94,000; 30,000; -83,000;6451,7917
433,000; 247,000; 247,000; 221,000; 213,000; 70,000; 90,000; 333,000; 164,000; 69,000; 169,000; 389,000;6461,68016
-155,000; 154,000; 156,000; 50,000; -21,000; -180,000; 103,000; 21,000; 45,000; -16,000; -101,000; -142,000;6595,3438
371,000; 381,000; 297,000; 322,000; 375,000; 407,000; 407,000; 438,000; 197,000; 203,000; -91,000; 361,000;6621,41739
-93,000; -25,000; -175,000; -32,000; -220,000; 126,000; -47,000; -278,000; -68,000; -129,000; -113,000; -167,000;6706,25931
